,tweetID,OriginalTweetID,OrigLoc,OrigScrNm,RetweetCt
22954,3289265213,2458907334,Finchley,KhanUKIP,1003.0
19964,3310685459,2458907334,Finchley,KhanUKIP,1003.0
19986,3307859789,2458907334,Finchley,KhanUKIP,1003.0
22300,3308990631,2458907334,Finchley,KhanUKIP,1003.0
23392,3307758201,2458907334,Finchley,KhanUKIP,1003.0
23426,3307912936,2458907334,Finchley,KhanUKIP,1003.0
22230,2994595361,2458907334,Finchley,KhanUKIP,1003.0
19966,3310637403,2458907334,Finchley,KhanUKIP,1003.0
24328,3295704477,2458907334,Finchley,KhanUKIP,1003.0
22234,3309153406,2458907334,Finchley,KhanUKIP,1003.0
22236,3309118630,2458907334,Finchley,KhanUKIP,1003.0
23424,3307898627,2458907334,Finchley,KhanUKIP,1003.0
19984,3310744558,2458907334,Finchley,KhanUKIP,1003.0
20380,3310411121,2458907334,Finchley,KhanUKIP,1003.0
20392,3309095974,2458907334,Finchley,KhanUKIP,1003.0
22920,3236386645,2458907334,Finchley,KhanUKIP,1003.0
22324,3146964276,2458907334,Finchley,KhanUKIP,1003.0
20794,3310361068,2458907334,Finchley,KhanUKIP,1003.0
23522,3307723947,2458907334,Finchley,KhanUKIP,1003.0
23520,3307825805,2458907334,Finchley,KhanUKIP,1003.0
20782,3240161249,2458907334,Finchley,KhanUKIP,1003.0
22870,3307995910,2458907334,Finchley,KhanUKIP,1003.0
22876,3236395693,2458907334,Finchley,KhanUKIP,1003.0
23026,3308217802,2458907334,Finchley,KhanUKIP,1003.0
24152,3297498263,2458907334,Finchley,KhanUKIP,1003.0
20764,3310342438,2458907334,Finchley,KhanUKIP,1003.0
20758,3310334590,2458907334,Finchley,KhanUKIP,1003.0
20752,3310328207,2458907334,Finchley,KhanUKIP,1003.0
22066,3311927380,2458907334,Finchley,KhanUKIP,1003.0
20748,3307781523,2458907334,Finchley,KhanUKIP,1003.0
20746,3239848419,2458907334,Finchley,KhanUKIP,1003.0
20734,3310320191,2458907334,Finchley,KhanUKIP,1003.0
20722,3310226055,2458907334,Finchley,KhanUKIP,1003.0
24622,3173230979,2458907334,Finchley,KhanUKIP,1003.0
22064,3309260332,2458907334,Finchley,KhanUKIP,1003.0
23010,3308400544,2458907334,Finchley,KhanUKIP,1003.0
23512,3307841897,2458907334,Finchley,KhanUKIP,1003.0
20686,3310335172,2458907334,Finchley,KhanUKIP,1003.0
23508,3307781829,2458907334,Finchley,KhanUKIP,1003.0
23534,3307842640,2458907334,Finchley,KhanUKIP,1003.0
20796,3310256829,2458907334,Finchley,KhanUKIP,1003.0
22864,3236338700,2458907334,Finchley,KhanUKIP,1003.0
23340,3307897457,2458907334,Finchley,KhanUKIP,1003.0
20992,3310250501,2458907334,Finchley,KhanUKIP,1003.0
24686,3289408605,2458907334,Finchley,KhanUKIP,1003.0
20986,3156447895,2458907334,Finchley,KhanUKIP,1003.0
22050,3309219023,2458907334,Finchley,KhanUKIP,1003.0
20972,3310210557,2458907334,Finchley,KhanUKIP,1003.0
20952,3310258835,2458907334,Finchley,KhanUKIP,1003.0
20942,3310323538,2458907334,Finchley,KhanUKIP,1003.0
20930,3308977756,2458907334,Finchley,KhanUKIP,1003.0
24678,3310206243,2458907334,Finchley,KhanUKIP,1003.0
24674,3294448431,2458907334,Finchley,KhanUKIP,1003.0
20920,3310277717,2458907334,Finchley,KhanUKIP,1003.0
20904,3084850518,2458907334,Finchley,KhanUKIP,1003.0
20898,3310265573,2458907334,Finchley,KhanUKIP,1003.0
23334,3307882451,2458907334,Finchley,KhanUKIP,1003.0
20894,3310314310,2458907334,Finchley,KhanUKIP,1003.0
20892,3309753093,2458907334,Finchley,KhanUKIP,1003.0
23554,3231885099,2458907334,Finchley,KhanUKIP,1003.0
23402,3307859849,2458907334,Finchley,KhanUKIP,1003.0
24140,3297010601,2458907334,Finchley,KhanUKIP,1003.0
20858,3310312264,2458907334,Finchley,KhanUKIP,1003.0
22862,3236285352,2458907334,Finchley,KhanUKIP,1003.0
20410,3310440693,2458907334,Finchley,KhanUKIP,1003.0
20662,3310379548,2458907334,Finchley,KhanUKIP,1003.0
20658,3310332412,2458907334,Finchley,KhanUKIP,1003.0
23486,3307829063,2458907334,Finchley,KhanUKIP,1003.0
22884,3311465831,2458907334,Finchley,KhanUKIP,1003.0
23500,3307886062,2458907334,Finchley,KhanUKIP,1003.0
22114,3309210940,2458907334,Finchley,KhanUKIP,1003.0
23498,3307811813,2458907334,Finchley,KhanUKIP,1003.0
23494,3307877236,2458907334,Finchley,KhanUKIP,1003.0
20538,2522112088,2458907334,Finchley,KhanUKIP,1003.0
22908,3236350946,2458907334,Finchley,KhanUKIP,1003.0
20512,3310439686,2458907334,Finchley,KhanUKIP,1003.0
20500,3199822589,2458907334,Finchley,KhanUKIP,1003.0
24196,3297632367,2458907334,Finchley,KhanUKIP,1003.0
20494,3310227555,2458907334,Finchley,KhanUKIP,1003.0
23502,3307801311,2458907334,Finchley,KhanUKIP,1003.0
20480,1228067772,2458907334,Finchley,KhanUKIP,1003.0
20468,3310419473,2458907334,Finchley,KhanUKIP,1003.0
20466,3310338929,2458907334,Finchley,KhanUKIP,1003.0
22124,3309142223,2458907334,Finchley,KhanUKIP,1003.0
22126,3309054579,2458907334,Finchley,KhanUKIP,1003.0
23484,3307883104,2458907334,Finchley,KhanUKIP,1003.0
20458,3310467065,2458907334,Finchley,KhanUKIP,1003.0
24198,3297555611,2458907334,Finchley,KhanUKIP,1003.0
20414,320697063,2458907334,Finchley,KhanUKIP,1003.0
23482,3307905670,2458907334,Finchley,KhanUKIP,1003.0
24194,3296600235,2458907334,Finchley,KhanUKIP,1003.0
22106,3309226132,2458907334,Finchley,KhanUKIP,1003.0
20550,3155116709,2458907334,Finchley,KhanUKIP,1003.0
22894,3308535202,2458907334,Finchley,KhanUKIP,1003.0
24184,3297420585,2458907334,Finchley,KhanUKIP,1003.0
22074,3309118725,2458907334,Finchley,KhanUKIP,1003.0
22886,3308713978,2458907334,Finchley,KhanUKIP,1003.0
22076,3309120455,2458907334,Finchley,KhanUKIP,1003.0
22078,3309090591,2458907334,Finchley,KhanUKIP,1003.0
20612,3310318323,2458907334,Finchley,KhanUKIP,1003.0
22084,3309128139,2458907334,Finchley,KhanUKIP,1003.0
20608,2838333676,2458907334,Finchley,KhanUKIP,1003.0
22316,3311104559,2458907334,Finchley,KhanUKIP,1003.0
22102,3309240922,2458907334,Finchley,KhanUKIP,1003.0
22892,3308655497,2458907334,Finchley,KhanUKIP,1003.0
20598,3310320737,2458907334,Finchley,KhanUKIP,1003.0
20594,3310317609,2458907334,Finchley,KhanUKIP,1003.0
20590,3310394416,2458907334,Finchley,KhanUKIP,1003.0
20578,3310339601,2458907334,Finchley,KhanUKIP,1003.0
22900,3336324100,2458907334,Finchley,KhanUKIP,1003.0
22902,3236392897,2458907334,Finchley,KhanUKIP,1003.0
24188,3236692955,2458907334,Finchley,KhanUKIP,1003.0
20562,3310407437,2458907334,Finchley,KhanUKIP,1003.0
20552,3310383899,2458907334,Finchley,KhanUKIP,1003.0
22098,3154030718,2458907334,Finchley,KhanUKIP,1003.0
21646,3309406703,2458907334,Finchley,KhanUKIP,1003.0
964,21810329,3326733263,France,dstrausskahn,761.0
76,19968933,3326733263,France,dstrausskahn,761.0
13756,881071,3326733263,France,dstrausskahn,761.0
16234,232888423,3326733263,France,dstrausskahn,761.0
1054,2520237692,2364495792,,StockHighAlert,664.0
15462,373035299,403647191,UK,Ian56789,560.0
23462,287293538,403647191,UK,Ian56789,560.0
16000,1174762118,403647191,UK,Ian56789,560.0
15768,175736222,403647191,UK,Ian56789,560.0
16084,2850483904,403647191,UK,Ian56789,560.0
26224,268695915,403647191,UK,Ian56789,560.0
16926,3254441955,403647191,UK,Ian56789,560.0
13186,2996524397,3326733263,France,dstrausskahn,498.0
14442,100452627,3326733263,France,dstrausskahn,498.0
14986,1052934420,755252174,Brussels,BirdLifeEurope,356.0
8252,2990181755,755252174,Brussels,BirdLifeEurope,356.0
13230,71486046,755252174,Brussels,BirdLifeEurope,356.0
15480,2981096116,755252174,Brussels,BirdLifeEurope,356.0
16434,798939415,755252174,Brussels,BirdLifeEurope,356.0
12978,2162457861,755252174,Brussels,BirdLifeEurope,356.0
13644,97764463,755252174,Brussels,BirdLifeEurope,356.0
8978,240201514,755252174,Brussels,BirdLifeEurope,356.0
7360,2322582248,755252174,Brussels,BirdLifeEurope,356.0
4502,1273349941,755252174,Brussels,BirdLifeEurope,356.0
15640,892986649,755252174,Brussels,BirdLifeEurope,356.0
16360,2759560696,755252174,Brussels,BirdLifeEurope,356.0
5152,414838290,755252174,Brussels,BirdLifeEurope,356.0
368,467643592,755252174,Brussels,BirdLifeEurope,356.0
13252,510591266,755252174,Brussels,BirdLifeEurope,356.0
10468,374675744,755252174,Brussels,BirdLifeEurope,356.0
10914,1251322195,755252174,Brussels,BirdLifeEurope,356.0
16552,241541731,755252174,Brussels,BirdLifeEurope,356.0
14782,295918524,755252174,Brussels,BirdLifeEurope,356.0
17480,1425348680,755252174,Brussels,BirdLifeEurope,356.0
13308,243567295,755252174,Brussels,BirdLifeEurope,356.0
